floor,indoor,furniture,table,bottle,chair,kitchen & dining room table,kitchen,coffee table,shelf,936038,Brown,Brown.1
furniture,bottle,table,menu,text,kitchen & dining room table,food,chair,drink,cafe,BF970C,Black,Brown
chair,table,indoor,kitchen & dining room table,restaurant,coffee table,house,text,ceiling,bar,B03F1B,Brown,Brown
bottle,indoor,table,person,ceiling,food,drink,restaurant,people,wine,A93E22,Black,Brown
soft drink,drink,juice,indoor,person,cocktail,food,cocktail garnish,orange,lemon,B64715,White,Grey
indoor,ceiling,furniture,table,restaurant,bar,text,bottle,chair,kitchen & dining room table,A36728,Black,Brown
furniture,table,text,chair,kitchen & dining room table,bar,indoor,menu,cafe,bottle,B17F1A,Black,Brown
indoor,ceiling,chair,hotel,table,coffee table,floor,vase,kitchen & dining room table,couch,A18B2A,Black,Black
indoor,ceiling,chair,table,coffee table,floor,kitchen & dining room table,desk,design,interior,9C462F,Black,Grey
table,floor,indoor,chair,kitchen & dining room table,coffee table,room,design,hotel,bar,AF921C,Brown,Brown
bottle,indoor,wall,furniture,restaurant,drink,text,shelf,drinking establishment,shop,876044,Black,Black
table,bottle,indoor,drink,ceiling,person,menu,drinking establishment,text,pub,A56A26,Black,Black
person,text,ceiling,menu,people,indoor,clothing,man,standing,restaurant,BD8C0E,Black,Black
furniture,table,chair,indoor,building,light,coffee table,sky,kitchen & dining room table,skyscraper,A88123,Black,Brown
indoor,table,floor,coffee table,chair,couch,room,kitchen & dining room table,studio couch,sofa bed,BD790E,Brown,Brown
couch,indoor,chair,interior,studio couch,coffee table,fireplace,sofa bed,house,room,9F472C,White,Brown
scene,concert,stage,band,person,music,musical instrument,live music,drum,gig,07ABC4,Blue,Blue
indoor,floor,chair,restaurant,kitchen & dining room table,bar,room,living,ceiling,coffee table,915D3A,Brown,Brown
soft drink,cocktail,juice,indoor,food,beer,cocktail garnish,bar,paradise,non-alcoholic beverage,B53D16,Black,Black
drink,cocktail,wine glass,indoor,wine,champagne stemware,glass,stemware,beer,food,C0140B,Black,Black
soft drink,drink,cocktail,indoor,juice,cocktail garnish,paradise,drinking straw,classic cocktail,highball glass,00B3CB,Blue,Blue
indoor,table,chair,kitchen & dining room table,ceiling,coffee table,interior,design,modern,window,81774A,Black,Grey
floor,ceiling,living,indoor,room,table,chair,house,coffee table,couch,B14D08,Brown,Brown
indoor,person,bottle,drink,man,bar,ceiling,food,table,menu,A0762B,Black,Black
indoor,bottle,shelf,drink,wooden,drinking establishment,furniture,wine,kitchen & dining room table,text,C37F08,Brown,Brown
bottle,indoor,floor,restaurant,night,furniture,drink,lit,drinking establishment,building,C0860B,Brown,Black
bottle,table,wine,indoor,food,glasses,soft drink,counter,alcohol,beer,BC400F,Brown,Black
furniture,indoor,menu,bottle,kitchen & dining room table,text,chair,ceiling,cafe,restaurant,0C305C,Black,Brown
floor,indoor,chair,table,bar,ceiling,kitchen & dining room table,bottle,green,menu,936C38,Black,Black
indoor,ceiling,floor,bottle,kitchen,furniture,kitchen & dining room table,cafe,counter,drink,966835,Brown,Brown
furniture,table,indoor,ceiling,chair,window,hotel,kitchen & dining room table,couch,coffee table,B54C11,Black,Black
bottle,indoor,text,furniture,ceiling,drink,food,drinking establishment,pub,kitchen & dining room table,BA460E,Black,Brown
building,furniture,table,bar,chair,restaurant,kitchen & dining room table,coffee table,bottle,menu,81674B,Black,Black
indoor,floor,ceiling,table,room,restaurant,bar,living,countertop,cabinetry,C39B08,Black,Black
indoor,floor,restaurant,furniture,red,ceiling,table,room,chair,text,BF1B0C,Black,Brown
indoor,furniture,menu,ceiling,floor,chair,kitchen & dining room table,text,pub,fast food,A94C22,Black,Brown
indoor,table,ceiling,chair,floor,window,kitchen & dining room table,coffee table,hotel,building,9D642E,Brown,Black
table,drink,cocktail,indoor,wine glass,tableware,food,soft drink,wine,champagne stemware,A88723,Brown,Brown
furniture,table,indoor,chair,menu,bottle,kitchen & dining room table,cafe,restaurant,food,B34718,Brown,Brown
tableware,wall,indoor,coffee,cup,bowl,sink,vase,plate,saucer,B87913,Brown,Brown
bottle,restaurant,drink,indoor,drinking establishment,bar,wine,text,night,shop,C04108,Black,Brown
bottle,drink,indoor,shelf,bar,beer,text,wine,food,soft drink,A76B24,Brown,Brown
bottle,indoor,wine,person,beer,drinking establishment,drink,furniture,candle,text,BD4302,Brown,Brown
